player_name,age,position,club_involved,fee,transfer_period,year,season
Alex,23,Attacking Midfield,Cruzeiro,8000000.0,Summer,2001,2001/2002
Marco Marchionni,20,Right Midfield,Empoli,6200000.0,Summer,2001,2001/2002
Matteo Ferrari,21,Centre-Back,Inter,5160000.0,Summer,2001,2001/2002
Claudio Taffarel,35,Goalkeeper,Galatasaray,2000000.0,Summer,2001,2001/2002
Andrea Staffolani,18,Centre-Forward,Ancona,775000.0,Summer,2001,2001/2002
Zlatko Dedic,16,Centre-Forward,FC Koper,250000.0,Summer,2001,2001/2002
Mohamed Kader,22,Centre-Forward,Al-Ahly Tripoli,0.0,Summer,2001,2001/2002
Paolo Poggi,30,Centre-Forward,AS Roma,0.0,Summer,2001,2001/2002
Gabriele Giaroli,20,Goalkeeper,Prato,0.0,Summer,2001,2001/2002
Amedeo Mangone,32,Centre-Back,AS Roma,0.0,Summer,2001,2001/2002
Massimiliano Iezzi,20,Right Midfield,West Brom,0.0,Summer,2001,2001/2002
Gaetano Grieco,18,Centre-Forward,Genoa,0.0,Summer,2001,2001/2002
Giampiero Maini,29,Defensive Midfield,AC Venezia 1907,0.0,Summer,2001,2001/2002
Sergey Gurenko,28,Right-Back,AS Roma,0.0,Summer,2001,2001/2002
Aimo Diana,23,Right Midfield,Brescia,0.0,Summer,2001,2001/2002
Sébastien Frey,21,Goalkeeper,Inter,0.0,Summer,2001,2001/2002
Alfonso De Lucia,17,Goalkeeper,Parma U19,0.0,Summer,2001,2001/2002
Gianluigi Buffon,23,Goalkeeper,Juventus,-52880000.0,Summer,2001,2001/2002
Lilian Thuram,29,Centre-Back,Juventus,-36150000.0,Summer,2001,2001/2002
Márcio Amoroso,26,Centre-Forward,Bor. Dortmund,-25500000.0,Summer,2001,2001/2002
Sérgio Conceição,26,Right Winger,Inter,-18000000.0,Summer,2001,2001/2002
Evanilson,25,Right-Back,Bor. Dortmund,-3000000.0,Summer,2001,2001/2002
Matteo Guardalben,27,Goalkeeper,Piacenza,-780000.0,Summer,2001,2001/2002
Martin Laursen,24,Centre-Back,Milan,-500000.0,Summer,2001,2001/2002
Amauri,21,Centre-Forward,Piacenza,-200000.0,Summer,2001,2001/2002
Diego Fuser,32,Right Midfield,AS Roma,0.0,Summer,2001,2001/2002
Davide Stirpe,19,defence,Prato,0.0,Summer,2001,2001/2002
Davide Micillo,30,Goalkeeper,Cosenza,0.0,Summer,2001,2001/2002
Alejandro Lembo,23,Centre-Back,Nacional,0.0,Summer,2001,2001/2002
Saliou Lassissi,22,Centre-Back,AS Roma,0.0,Summer,2001,2001/2002
Paolo Poggi,30,Centre-Forward,Piacenza,0.0,Summer,2001,2001/2002
Gianluca De Angelis,20,Centre-Forward,Sora,0.0,Summer,2001,2001/2002
Zlatko Zebić,22,Attacking Midfield,AC Bellinzona,0.0,Summer,2001,2001/2002
Andrea Staffolani,18,Centre-Forward,Ancona,0.0,Summer,2001,2001/2002
Jonathan Bachini,26,Left Midfield,Brescia,0.0,Summer,2001,2001/2002
Paolo Cannavaro,20,Centre-Back,Hellas Verona,0.0,Summer,2001,2001/2002
Johnnier Montaño,18,Attacking Midfield,Hellas Verona,0.0,Summer,2001,2001/2002
Hakan Sükür,30,Centre-Forward,Inter,0.0,Winter,2001,2001/2002
Alex,24,Attacking Midfield,Cruzeiro,-6000000.0,Winter,2001,2001/2002
Patrick M'Boma,31,Centre-Forward,Sunderland,-4500000.0,Winter,2001,2001/2002
Mohamed Kader,22,Centre-Forward,Vicenza,0.0,Winter,2001,2001/2002
Amedeo Mangone,33,Centre-Back,Brescia,0.0,Winter,2001,2001/2002
Massimiliano Iezzi,20,Right Midfield,Benevento,0.0,Winter,2001,2001/2002
Manuel Saccani,19,midfield,Calcio Monza,0.0,Winter,2001,2001/2002
Andrea Staffolani,18,Centre-Forward,Taranto,0.0,Winter,2001,2001/2002
Gianluca Falsini,26,Left-Back,Atalanta BC,0.0,Winter,2001,2001/2002
Stefano Torrisi,30,Centre-Back,Marseille,0.0,Winter,2001,2001/2002
Savo Milosevic,28,Centre-Forward,Real Zaragoza,0.0,Winter,2001,2001/2002
Adriano,20,Centre-Forward,Inter,14500000.0,Summer,2002,2002/2003
Alberto Gilardino,19,Centre-Forward,Hellas Verona,12000000.0,Summer,2002,2002/2003
Adrian Mutu,23,Centre-Forward,Hellas Verona,10000000.0,Summer,2002,2002/2003
Mark Bresciano,22,Central Midfield,Empoli,7000000.0,Summer,2002,2002/2003
Matteo Brighi,21,Central Midfield,Juventus,5000000.0,Summer,2002,2002/2003
Florian Myrtaj,26,Centre-Forward,Teramo,800000.0,Summer,2002,2002/2003
Christian Terlizzi,22,Centre-Back,Teramo,550000.0,Summer,2002,2002/2003
Vratislav Gresko,24,Left-Back,Inter,0.0,Summer,2002,2002/2003
Gabriel Oyola,19,Centre-Back,CA Talleres,0.0,Summer,2002,2002/2003
Sebastiano Siviglia,29,Centre-Back,AS Roma,0.0,Summer,2002,2002/2003
Aimo Diana,24,Right Midfield,Brescia,0.0,Summer,2002,2002/2003
Roberto Massaro,18,Centre-Forward,Florentia,0.0,Summer,2002,2002/2003
Daniele Bonera,21,Centre-Back,Brescia,0.0,Summer,2002,2002/2003
Alex Gibbs,18,Centre-Forward,Calcio Monza,0.0,Summer,2002,2002/2003
Emanuele Filippini,29,Central Midfield,Brescia,0.0,Summer,2002,2002/2003
Matuzalém,22,Defensive Midfield,Piacenza,0.0,Summer,2002,2002/2003
Massimo Donati,21,Defensive Midfield,Milan,0.0,Summer,2002,2002/2003
Francesco Ruopolo,19,Centre-Forward,Parma U19,0.0,Summer,2002,2002/2003
Fabio Cannavaro,28,Centre-Back,Inter,-23000000.0,Summer,2002,2002/2003
Matías Almeyda,28,Defensive Midfield,Inter,-22100000.0,Summer,2002,2002/2003
Martin Laursen,24,Centre-Back,Milan,-11000000.0,Summer,2002,2002/2003
Marco Di Vaio,26,Centre-Forward,Juventus,-7000000.0,Summer,2002,2002/2003
Stephen Appiah,21,Defensive Midfield,Brescia,-4550000.0,Summer,2002,2002/2003
Savo Milosevic,28,Centre-Forward,Espanyol,-3000000.0,Summer,2002,2002/2003
Néstor Sensini,35,Centre-Back,Udinese,0.0,Summer,2002,2002/2003
Martin Djetou,27,Centre-Back,Fulham,0.0,Summer,2002,2002/2003
Zlatko Zebić,23,Attacking Midfield,MFK Košice,0.0,Summer,2002,2002/2003
Johnnier Montaño,19,Attacking Midfield,Piacenza,0.0,Summer,2002,2002/2003
Jonathan Bachini,27,Left Midfield,Brescia,0.0,Summer,2002,2002/2003
Gabriele Giaroli,21,Goalkeeper,Sassuolo,0.0,Summer,2002,2002/2003
Christian Terlizzi,22,Centre-Back,Cesena,0.0,Summer,2002,2002/2003
Johan Micoud,29,Attacking Midfield,Werder Bremen,0.0,Summer,2002,2002/2003
Florian Myrtaj,26,Centre-Forward,Cesena,0.0,Summer,2002,2002/2003
Gianluca De Angelis,21,Centre-Forward,Hellas Verona,0.0,Summer,2002,2002/2003
Alain Boghossian,31,Central Midfield,Espanyol,0.0,Summer,2002,2002/2003
Matuzalém,22,Defensive Midfield,Brescia,0.0,Summer,2002,2002/2003
Luigi Sartor,27,Right-Back,AS Roma,0.0,Summer,2002,2002/2003
Giampiero Maini,30,Defensive Midfield,Ancona,0.0,Summer,2002,2002/2003
Francesco Ruopolo,19,Centre-Forward,Pro Patria,0.0,Summer,2002,2002/2003
Jorge Bolaño,25,Central Midfield,Sampdoria,0.0,Summer,2002,2002/2003
Gianluca Falsini,26,Left-Back,Reggina,0.0,Summer,2002,2002/2003
Andrea Staffolani,19,Centre-Forward,Vis Pesaro,0.0,Summer,2002,2002/2003
Paolo Poggi,31,Centre-Forward,AC Venezia 1907,0.0,Summer,2002,2002/2003
Sergey Gurenko,29,Right-Back,Piacenza,0.0,Summer,2002,2002/2003
Gaetano Grieco,19,Centre-Forward,Empoli,0.0,Summer,2002,2002/2003
Hakan Sükür,30,Centre-Forward,Without Club,0.0,Summer,2002,2002/2003
Aimo Diana,24,Right Midfield,Brescia,0.0,Summer,2002,2002/2003
