player_name,age,position,club_involved,fee,transfer_period,year,season
Fabrizio Biava,21,midfield,Lucchese,0.0,out,Winter,2004,2004/2005
Giovanni Pasquale,22,Left-Back,Siena,0.0,out,Winter,2004,2004/2005
Horacio Peralta,22,Centre-Forward,Albacete,0.0,out,Winter,2004,2004/2005
Nicola Beati,21,Defensive Midfield,Spezia,0.0,out,Winter,2004,2004/2005
Riccardo Meggiorini,19,Centre-Forward,Spezia,0.0,out,Winter,2004,2004/2005
Dimitar Makriev,20,Centre-Forward,FC Chiasso,0.0,out,Winter,2004,2004/2005
Isah Eliakwu,18,Centre-Forward,Ascoli,0.0,out,Winter,2004,2004/2005
Wálter Samuel,27,Centre-Back,Real Madrid,16000000.0,in,Summer,2005,2005/2006
David Pizarro,25,Central Midfield,Udinese,12000000.0,in,Summer,2005,2005/2006
Santiago Solari,28,Left Midfield,Real Madrid,2000000.0,in,Summer,2005,2005/2006
Marco Andreolli,19,Centre-Back,Padova U19,400000.0,in,Summer,2005,2005/2006
Paolo Orlandoni,32,Goalkeeper,Piacenza,0.0,in,Summer,2005,2005/2006
Robert Acquafresca,17,Centre-Forward,Torino U19,0.0,in,Summer,2005,2005/2006
Luís Figo,32,Right Winger,Real Madrid,0.0,in,Summer,2005,2005/2006
Pierre Womé,26,Left-Back,Brescia,0.0,in,Summer,2005,2005/2006
Giacomo Bindi,18,Goalkeeper,Inter U19,0.0,in,Summer,2005,2005/2006
Matteo Lombardo,20,Left Midfield,Inter U19,0.0,in,Summer,2005,2005/2006
Daniel Maa Boumsong,18,Defensive Midfield,Inter U19,0.0,in,Summer,2005,2005/2006
Andy van der Meyde,25,Right Winger,Everton,9000000.0,out,Summer,2005,2005/2006
Domenico Morfeo,29,Attacking Midfield,Parma,7500000.0,out,Summer,2005,2005/2006
Emre Belözoglu,24,Central Midfield,Newcastle,5000000.0,out,Summer,2005,2005/2006
Paolo Dellafiore,20,Centre-Back,Treviso,600000.0,out,Summer,2005,2005/2006
Francesco Coco,28,Left-Back,AS Livorno,300000.0,out,Summer,2005,2005/2006
Edgar Davids,32,Central Midfield,Spurs,0.0,out,Summer,2005,2005/2006
Georgios Karagounis,28,Central Midfield,Benfica,0.0,out,Summer,2005,2005/2006
Dimitar Makriev,21,Centre-Forward,Dijon,0.0,out,Summer,2005,2005/2006
Sabri Lamouchi,33,Central Midfield,Marseille,0.0,out,Summer,2005,2005/2006
Nicola Ventola,27,Centre-Forward,Atalanta BC,0.0,out,Summer,2005,2005/2006
Stéphane Dalmat,26,Central Midfield,Racing,0.0,out,Summer,2005,2005/2006
Javier Farinós,27,Defensive Midfield,RCD Mallorca,0.0,out,Summer,2005,2005/2006
Carlos Gamarra,34,Centre-Back,Palmeiras,0.0,out,Summer,2005,2005/2006
Christian Vieri,31,Centre-Forward,AC Milan,0.0,out,Summer,2005,2005/2006
Gonzalo Sorondo,25,Centre-Back,Charlton,0.0,out,Summer,2005,2005/2006
Alberto Fontana,38,Goalkeeper,Chievo Verona,0.0,out,Summer,2005,2005/2006
Aco Stojkov,22,Left Winger,La Louviere,0.0,out,Summer,2005,2005/2006
Lampros Choutos,25,Centre-Forward,RCD Mallorca,0.0,out,Summer,2005,2005/2006
Fabrizio Biava,21,midfield,Acireale,0.0,out,Summer,2005,2005/2006
Robert Acquafresca,17,Centre-Forward,Treviso,0.0,out,Summer,2005,2005/2006
Carl Valeri,20,Central Midfield,Grosseto,0.0,out,Summer,2005,2005/2006
Alex Cordaz,22,Goalkeeper,Acireale,0.0,out,Summer,2005,2005/2006
Isah Eliakwu,19,Centre-Forward,Triestina,0.0,out,Summer,2005,2005/2006
Riccardo Meggiorini,19,Centre-Forward,Pavia,0.0,out,Summer,2005,2005/2006
Nicola Beati,22,Defensive Midfield,Arezzo,0.0,out,Summer,2005,2005/2006
Nicola Napolitano,22,Central Midfield,Pavia,0.0,out,Summer,2005,2005/2006
Mattia Altobelli,21,Attacking Midfield,Avellino,0.0,out,Summer,2005,2005/2006
