player_name,age,position,club_involved,fee,transfer_period,year,season
Franco Brienza,37,Attacking Midfield,Bari,0.0,out,Summer,2016,2016/2017
Matteo Brighi,35,Central Midfield,Perugia,0.0,out,Summer,2016,2016/2017
Franco Zuculini,25,Central Midfield,Hellas Verona,0.0,out,Summer,2016,2016/2017
Dejan Stojanovic,23,Goalkeeper,FC St. Gallen,0.0,out,Summer,2016,2016/2017
Lorenzo Crisetig,23,Defensive Midfield,Crotone,0.0,out,Summer,2016,2016/2017
Gianmarco Gerevini,23,Defensive Midfield,Olhanense,0.0,out,Summer,2016,2016/2017
Filippo Perucchini,24,Goalkeeper,Benevento,0.0,out,Summer,2016,2016/2017
Nicola Camilloni,19,Right-Back,AJ Fano,0.0,out,Summer,2016,2016/2017
Lorenzo Musto,20,Centre-Forward,AS Gubbio,0.0,out,Summer,2016,2016/2017
Lorenzo Paramatti,21,Centre-Back,Santarcangelo,0.0,out,Summer,2016,2016/2017
Deian Boldor,21,Centre-Back,Hellas Verona,0.0,out,Summer,2016,2016/2017
Francesco Bergamini,21,Central Midfield,AS Gubbio,0.0,out,Summer,2016,2016/2017
Nicolò Cherubin,29,Centre-Back,Hellas Verona,0.0,out,Summer,2016,2016/2017
Blerim Dzemaili,31,Central Midfield,Montreal,0.0,out,Summer,2016,2016/2017
Antonio Calabrese,20,Centre-Forward,Racing Roma,0.0,out,Summer,2016,2016/2017
Rubén Palomeque,21,Right-Back,Lupa Roma,0.0,out,Summer,2016,2016/2017
Filippo Falco,24,Right Winger,Benevento,0.0,out,Summer,2016,2016/2017
Andrea Vassallo,18,Left Winger,Brescia,0.0,out,Summer,2016,2016/2017
Lorenzo Paramatti,21,Centre-Back,ACR Messina,0.0,out,Summer,2016,2016/2017
Matteo Mancosu,31,Centre-Forward,Montreal,0.0,out,Summer,2016,2016/2017
Bálint Vécsei,22,Central Midfield,FC Lugano,0.0,out,Summer,2016,2016/2017
Luca Camorani,20,Centre-Back,Without Club,0.0,out,Summer,2016,2016/2017
Kévin Constant,29,Central Midfield,Without Club,0.0,out,Summer,2016,2016/2017
Luca Ceccarelli,33,Right-Back,Without Club,0.0,out,Summer,2016,2016/2017
Lorenzo Crisetig,23,Defensive Midfield,Inter,0.0,out,Summer,2016,2016/2017
Luca Rizzo,24,Central Midfield,Sampdoria,0.0,out,Summer,2016,2016/2017
