player_name,age,position,club_involved,fee,transfer_period,year,season
Elio Capradossi,20,Centre-Back,Bari,0.0,out,Summer,2016,2016/2017
Tiago Casasola,20,Right-Back,Trapani,0.0,out,Summer,2016,2016/2017
Ismail H'Maidat,21,Central Midfield,Vicenza,0.0,out,Summer,2016,2016/2017
Matteo Adamo,19,Central Midfield,Without Club,0.0,out,Summer,2016,2016/2017
Maicon,34,Right-Back,Without Club,0.0,out,Summer,2016,2016/2017
Víctor Ibarbo,26,Second Striker,Cagliari Calcio,0.0,out,Summer,2016,2016/2017
Umar Sadiq,19,Centre-Forward,Spezia Calcio,0.0,out,Summer,2016,2016/2017
Mohamed Salah,24,Right Winger,Chelsea,0.0,out,Summer,2016,2016/2017
Edin Dzeko,30,Centre-Forward,Man City,0.0,out,Summer,2016,2016/2017
Salih Ucan,22,Central Midfield,Fenerbahce,0.0,out,Summer,2016,2016/2017
Antonio Rüdiger,23,Centre-Back,VfB Stuttgart,0.0,out,Summer,2016,2016/2017
Norbert Gyomber,23,Centre-Back,Catania,0.0,out,Summer,2016,2016/2017
Lucas Digne,22,Left-Back,Paris SG,0.0,out,Summer,2016,2016/2017
Stephan El Shaarawy,23,Left Winger,AC Milan,0.0,out,Summer,2016,2016/2017
Ervin Zukanovic,29,Centre-Back,Sampdoria,0.0,out,Summer,2016,2016/2017
Diego Perotti,27,Left Winger,Genoa,0.0,out,Summer,2016,2016/2017
Emerson,22,Left-Back,Santos FC,2000000.0,in,Winter,2016,2016/2017
Clément Grenier,26,Central Midfield,Olympique Lyon,0.0,in,Winter,2016,2016/2017
Iago Falque,27,Right Winger,Torino,6000000.0,out,Winter,2016,2016/2017
Mihai Balasa,22,Centre-Back,Steaua Bucharest,500000.0,out,Winter,2016,2016/2017
Juan Iturbe,23,Left Winger,Torino,0.0,out,Winter,2016,2016/2017
Giammario Piscitella,23,Left Winger,Prato,0.0,out,Winter,2016,2016/2017
Lorenzo Vasco,19,Defensive Midfield,Andria,0.0,out,Winter,2016,2016/2017
José Machín,20,Central Midfield,FC Lugano,0.0,out,Winter,2016,2016/2017
Ismail H'Maidat,21,Central Midfield,Olhanense,0.0,out,Winter,2016,2016/2017
Simone Battaglia,21,Central Midfield,Melfi,0.0,out,Winter,2016,2016/2017
Moustapha Seck,20,Left-Back,Carpi,0.0,out,Winter,2016,2016/2017
Christian D'Urso,19,Central Midfield,Carpi,0.0,out,Winter,2016,2016/2017
Franck Cedric,21,Right Winger,Catanzaro,0.0,out,Winter,2016,2016/2017
Tomas Svedkauskas,22,Goalkeeper,Catanzaro,0.0,out,Winter,2016,2016/2017
Norbert Gyomber,24,Centre-Back,Terek Grozny,0.0,out,Winter,2016,2016/2017
Emerson,22,Left-Back,Santos FC,0.0,out,Winter,2016,2016/2017
Rick Karsdorp,22,Right-Back,Feyenoord,16000000.0,in,Summer,2017,2017/2018
Cengiz Ünder,20,Right Winger,Basaksehir,14250000.0,in,Summer,2017,2017/2018
Bruno Peres,27,Right-Back,Torino,12500000.0,in,Summer,2017,2017/2018
