player_name,age,position,club_involved,fee,transfer_period,year,season
Umberto Del Core,27,Centre-Forward,Foggia,0.0,Summer,2007,2007/2008
Mirco Antenucci,22,Centre-Forward,SSC Venezia,0.0,Summer,2007,2007/2008
Alessio Caroccia,17,Goalkeeper,Unknown,0.0,Summer,2007,2007/2008
Mattia Biso,30,Central Midfield,Spezia,0.0,Summer,2007,2007/2008
Armando Pantanelli,36,Goalkeeper,Avellino,0.0,Summer,2007,2007/2008
César,28,Centre-Back,Chievo Verona,0.0,Summer,2007,2007/2008
Mauro Minelli,26,Centre-Back,Triestina,0.0,Summer,2007,2007/2008
Gianvito Plasmati,24,Centre-Forward,Foggia,0.0,Summer,2007,2007/2008
Antonino Profeta,19,Central Midfield,US Siracusa,0.0,Summer,2007,2007/2008
Vincenzo Ferrante,20,Goalkeeper,Catanzaro,0.0,Summer,2007,2007/2008
Takayuki Morimoto,19,Centre-Forward,Tokyo Verdy,0.0,Summer,2007,2007/2008
Matías Silvestre,23,Centre-Back,Boca Juniors,1500000.0,Winter,2007,2007/2008
Pablo Álvarez,23,Right-Back,Estudiantes,1030000.0,Winter,2007,2007/2008
Piá,25,Left Winger,SSC Napoli,65000.0,Winter,2007,2007/2008
Generoso Rossi,28,Goalkeeper,Triestina,0.0,Winter,2007,2007/2008
Gianluca Falsini,32,Left-Back,Arezzo,0.0,Winter,2007,2007/2008
Francesco Millesi,27,Left Winger,Spezia,0.0,Winter,2007,2007/2008
Riccardo Nardini,24,Central Midfield,Avellino,0.0,Winter,2007,2007/2008
Babù,27,Right Winger,Triestina,0.0,Winter,2007,2007/2008
Cristian Llama,21,Attacking Midfield,Newell's,0.0,Winter,2007,2007/2008
Nicolae Dica,28,Second Striker,Steaua Bucharest,2500000.0,Summer,2008,2008/2009
Pablo Ledesma,24,Central Midfield,Boca Juniors,2500000.0,Summer,2008,2008/2009
Andrea Catellani,20,Centre-Forward,Reggiana,500000.0,Summer,2008,2008/2009
Tomas Kosicky,22,Goalkeeper,Inter Bratislava,0.0,Summer,2008,2008/2009
Julián di Cosmo,23,Centre-Forward,Igea 1946,0.0,Summer,2008,2008/2009
Vincenzo Ferrante,21,Goalkeeper,Catanzaro,0.0,Summer,2008,2008/2009
Gianvito Plasmati,25,Centre-Forward,Foggia,0.0,Summer,2008,2008/2009
Milan Bortel,22,defence,Manfredonia,0.0,Summer,2008,2008/2009
Ezequiel Carboni,29,Defensive Midfield,RB Salzburg,0.0,Summer,2008,2008/2009
Michele Paolucci,22,Centre-Forward,Udinese,0.0,Summer,2008,2008/2009
Fabio Sciacca,19,Central Midfield,Catania,0.0,Summer,2008,2008/2009
Andrea D'Amico,19,Central Midfield,Catania,0.0,Summer,2008,2008/2009
Juan Manuel Vargas,24,Left-Back,Fiorentina,-12000000.0,Summer,2008,2008/2009
Andrea Sottil,34,Centre-Back,Rimini,0.0,Summer,2008,2008/2009
Adrian Bica Badan,19,defence,Vibonese,0.0,Summer,2008,2008/2009
Samuele Costanzo,20,defence,Paganese,0.0,Summer,2008,2008/2009
Mauro Minelli,27,Centre-Back,Triestina,0.0,Summer,2008,2008/2009
Babù,27,Right Winger,Avellino,0.0,Summer,2008,2008/2009
Antonino Profeta,20,Central Midfield,Cosenza,0.0,Summer,2008,2008/2009
Julián di Cosmo,23,Centre-Forward,Paganese,0.0,Summer,2008,2008/2009
Marcello Gazzola,23,Right-Back,Avellino,0.0,Summer,2008,2008/2009
Raffaele Ioime,20,Goalkeeper,Legnano,0.0,Summer,2008,2008/2009
Riccardo Nardini,25,Central Midfield,Without Club,0.0,Summer,2008,2008/2009
Piá,26,Left Winger,SSC Napoli,0.0,Summer,2008,2008/2009
Generoso Rossi,29,Goalkeeper,Triestina,0.0,Summer,2008,2008/2009
Vito Falconieri,22,Centre-Forward,Reggiana,0.0,Winter,2008,2008/2009
Alessandro Potenza,24,Centre-Back,Genoa,0.0,Winter,2008,2008/2009
Ciro Capuano,27,Centre-Back,US Palermo,0.0,Winter,2008,2008/2009
Paolo Acerbis,27,Goalkeeper,Grosseto,0.0,Winter,2008,2008/2009
Gianvito Plasmati,26,Centre-Forward,Atalanta BC,-300000.0,Winter,2008,2008/2009
Mirco Antenucci,24,Centre-Forward,AC Pisa,0.0,Winter,2008,2008/2009
Giuseppe Colucci,28,Central Midfield,Chievo Verona,0.0,Winter,2008,2008/2009
Mark Edusei,32,Defensive Midfield,Bari,0.0,Winter,2008,2008/2009
Rocco Sabato,26,Left-Back,Empoli,0.0,Winter,2008,2008/2009
Gennaro Sardo,29,Right-Back,Chievo Verona,0.0,Winter,2008,2008/2009
Julián di Cosmo,24,Centre-Forward,Andria,0.0,Winter,2008,2008/2009
Pablo Álvarez,24,Right-Back,Rosario Central,0.0,Winter,2008,2008/2009
